ticker,cik,filingDate,accessionNumber,source,wsc_a,wsc_b,wsc_c,wsc_d,wsc_e,wsc_f,qo_score,qo_reasoning,se_score,se_reasoning,cl_score,cl_reasoning,sa_score,sa_reasoning,hype_score,word_count,diag_se_ng_ratio,diag_se_burial_pct,diag_se_dem_hits,diag_se_hl_total,diag_se_pos_fact,diag_se_ext_blame,diag_se_d1,diag_se_d2,diag_se_d3,diag_se_d4,diag_se_d5,diag_se_d6,diag_cl_guidance_sents,diag_cl_guidance_density,diag_cl_strong_modal_count,diag_cl_weak_modal_count,diag_cl_modal_ratio,diag_cl_precision_count,diag_cl_unc_density,hype_v3,v3_reasoning,v3_c1_sa_attribution,v3_c2_qo_superlative,v3_c3_se_concealment,v3_c4_cl_guidance_strength,v3_c5_se_qualifier_asymmetry,v3_c6_qo_vague_positive,v3_c7_se_framing,v3_c8_cl_uncertainty
FTNT,1262039,2024-08-06,0001262039-24-000032,exhibit,0.309,0.0,0.0,0.2247,0.073,0.0169,18,"WSC[A]=0.309 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.000 (vague positives) → s_b=0/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+0=18/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",18,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=2 (GAAP/nonGAAP position) D2=1 (density ratio) D3=0 (headline) D4=3 (burial) D5=5 (demotion) D6=1 (qualifier asymmetry). raw=12/30 → SE=round(raw×1.5)=18/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],16,"Guidance sentences=4/89. Sub1 count=9/15 [g=4]. Sub2 modal=5/10 [strong=0, weak=0, ratio=0.30]. Sub3 ranges=3/5 [precision_count=2]. Sub4 uncertainty=-1 [unc_density=0.034]. CL=9+5+3+(-1)=16/25. [LM word-list method; Loughran & McDonald 2011]",15,"WSC[E]=0.073 (internal credit) → tier=13/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.017 (external blame) → modifier=+2 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=13+(2)=15/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",67,3000,0.3649,60,13,0,0,1,2,1,0,3,5,1,4,0.0449,0,0,0.3,2,0.0337,61,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=16/22 C2 QO-Super=16/18 C3 SE-Conceal=11/14 C4 CL-Guid=7/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=0/7 C7 SE-Frame=3/10 C8 CL-Uncertainty=-1. raw=52 x 1.1688 = 61/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",16,16,11,7,0,0,3,-1
MSI,68505,2023-05-04,0000068505-23-000025,refetched_exhibit,0.2909,0.0818,0.0364,0.2273,0.0364,0.1273,22,"WSC[A]=0.291 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.082 (vague positives) → s_b=4/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+4=22/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",12,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=2 (GAAP/nonGAAP position) D2=2 (density ratio) D3=2 (headline) D4=1 (burial) D5=0 (demotion) D6=1 (qualifier asymmetry). raw=8/30 → SE=round(raw×1.5)=12/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],17,"Guidance sentences=5/110. Sub1 count=11/15 [g=5]. Sub2 modal=3/10 [strong=0, weak=2, ratio=0.00]. Sub3 ranges=3/5 [precision_count=2]. Sub4 uncertainty=0 [unc_density=0.018]. CL=11+3+3+(0)=17/25. [LM word-list method; Loughran & McDonald 2011]",6,"WSC[E]=0.036 (internal credit) → tier=8/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.127 (external blame) → modifier=-2 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=8+(-2)=6/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",57,3000,0.4815,0,0,2,0,2,2,2,2,1,0,1,5,0.0455,0,2,0.0,2,0.0182,49,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=11/22 C2 QO-Super=16/18 C3 SE-Conceal=0/14 C4 CL-Guid=7/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=4/7 C7 SE-Frame=4/10 C8 CL-Uncertainty=+0. raw=42 x 1.1688 = 49/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",11,16,0,7,0,4,4,0
BA,12927,2025-07-29,0000012927-25-000058,exhibit,0.0,0.0303,0.0,0.0379,0.0,0.0,2,"WSC[A]=0.000 (superlatives) → s_a=0/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.030 (vague positives) → s_b=2/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=0+2=2/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",22,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=2 (GAAP/nonGAAP position) D2=2 (density ratio) D3=0 (headline) D4=5 (burial) D5=5 (demotion) D6=1 (qualifier asymmetry). raw=15/30 → SE=round(raw×1.5)=22/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],9,"Guidance sentences=1/66. Sub1 count=4/15 [g=1]. Sub2 modal=5/10 [strong=0, weak=0, ratio=0.30]. Sub3 ranges=0/5 [precision_count=0]. Sub4 uncertainty=0 [unc_density=0.015]. CL=4+5+0+(0)=9/25. [LM word-list method; Loughran & McDonald 2011]",0,"WSC[E]=0.000 (internal credit) → tier=0/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+0 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=0+(0)=0/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",33,1846,0.5135,100,8,0,1,0,2,2,0,5,5,1,1,0.0152,0,0,0.3,0,0.0152,26,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=0/22 C2 QO-Super=0/18 C3 SE-Conceal=14/14 C4 CL-Guid=2/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=2/7 C7 SE-Frame=4/10 C8 CL-Uncertainty=+0. raw=22 x 1.1688 = 26/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",0,0,14,2,0,2,4,0
DLR,1297996,2024-10-24,0001558370-24-013620,exhibit,0.1524,0.0381,0.0,0.1619,0.0,0.0,16,"WSC[A]=0.152 (superlatives) → s_a=14/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.038 (vague positives) → s_b=2/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=14+2=16/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",22,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=4 (GAAP/nonGAAP position) D2=3 (density ratio) D3=0 (headline) D4=2 (burial) D5=4 (demotion) D6=2 (qualifier asymmetry). raw=15/30 → SE=round(raw×1.5)=22/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],13,"Guidance sentences=2/105. Sub1 count=6/15 [g=2]. Sub2 modal=5/10 [strong=0, weak=0, ratio=0.30]. Sub3 ranges=2/5 [precision_count=1]. Sub4 uncertainty=0 [unc_density=0.000]. CL=6+5+2+(0)=13/25. [LM word-list method; Loughran & McDonald 2011]",0,"WSC[E]=0.000 (internal credit) → tier=0/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+0 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=0+(0)=0/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",51,3000,0.5312,33,4,0,0,0,4,3,0,2,4,2,2,0.019,0,0,0.3,1,0.0,42,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=0/22 C2 QO-Super=13/18 C3 SE-Conceal=8/14 C4 CL-Guid=4/15(incl. modal-strength bonus) C5 SE-Qual=2/8 C6 QO-Vague=2/7 C7 SE-Frame=7/10 C8 CL-Uncertainty=+0. raw=36 x 1.1688 = 42/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",0,13,8,4,2,2,7,0
TYL,860731,2020-11-04,0000860731-20-000032,refetched_exhibit,0.2593,0.1605,0.0247,0.3704,0.1481,0.037,25,"WSC[A]=0.259 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.160 (vague positives) → s_b=7/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+7=25/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",20,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=2 (GAAP/nonGAAP position) D2=2 (density ratio) D3=0 (headline) D4=2 (burial) D5=5 (demotion) D6=2 (qualifier asymmetry). raw=13/30 → SE=round(raw×1.5)=20/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],23,"Guidance sentences=14/81. Sub1 count=15/15 [g=14]. Sub2 modal=3/10 [strong=0, weak=16, ratio=0.00]. Sub3 ranges=5/5 [precision_count=7]. Sub4 uncertainty=0 [unc_density=0.000]. CL=15+3+5+(0)=23/25. [LM word-list method; Loughran & McDonald 2011]",19,"WSC[E]=0.148 (internal credit) → tier=18/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.037 (external blame) → modifier=+1 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=18+(1)=19/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",87,2242,0.4403,33,12,0,2,1,2,2,0,2,5,2,14,0.1728,0,16,0.0,7,0.0,81,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=19/22 C2 QO-Super=16/18 C3 SE-Conceal=9/14 C4 CL-Guid=12/15(incl. modal-strength bonus) C5 SE-Qual=2/8 C6 QO-Vague=7/7 C7 SE-Frame=4/10 C8 CL-Uncertainty=+0. raw=69 x 1.1688 = 81/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",19,16,9,12,2,7,4,0
MGM,789570,2023-05-01,0000789570-23-000012,exhibit,0.3269,0.1795,0.0,0.1795,0.0513,0.0,25,"WSC[A]=0.327 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.179 (vague positives) → s_b=7/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+7=25/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",25,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=4 (GAAP/nonGAAP position) D2=4 (density ratio) D3=0 (headline) D4=2 (burial) D5=5 (demotion) D6=5 (qualifier asymmetry). raw=20/30 → SE=round(raw×1.5)=25/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],9,"Guidance sentences=1/78. Sub1 count=4/15 [g=1]. Sub2 modal=5/10 [strong=0, weak=0, ratio=0.30]. Sub3 ranges=0/5 [precision_count=0]. Sub4 uncertainty=0 [unc_density=0.013]. CL=4+5+0+(0)=9/25. [LM word-list method; Loughran & McDonald 2011]",16,"WSC[E]=0.051 (internal credit) → tier=13/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+3 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=13+(3)=16/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",75,3000,0.7379,33,6,0,1,6,4,4,0,2,5,5,1,0.0128,0,0,0.3,0,0.0128,74,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=11/22 C2 QO-Super=18/18 C3 SE-Conceal=9/14 C4 CL-Guid=2/15(incl. modal-strength bonus) C5 SE-Qual=8/8 C6 QO-Vague=7/7 C7 SE-Frame=8/10 C8 CL-Uncertainty=+0. raw=63 x 1.1688 = 74/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",11,18,9,2,8,7,8,0
T,732717,2018-07-24,0000732717-18-000055,exhibit,0.4091,0.2182,0.0,0.2,0.0,0.0,25,"WSC[A]=0.409 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.218 (vague positives) → s_b=7/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+7=25/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",15,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=1 (GAAP/nonGAAP position) D2=2 (density ratio) D3=0 (headline) D4=1 (burial) D5=3 (demotion) D6=3 (qualifier asymmetry). raw=10/30 → SE=round(raw×1.5)=15/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],0,"No guidance sentences detected (guidance verb + $ / % figure). CL=0: absence of forward guidance is a meaningful signal, not a floor. Uncertainty density=0.000. [LM word-list method; Loughran & McDonald 2011]",0,"WSC[E]=0.000 (internal credit) → tier=0/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+0 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=0+(0)=0/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",40,1207,0.4286,25,2,0,1,1,1,2,0,1,3,3,0,0.0,0,0,0.3,0,0.0,43,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=0/22 C2 QO-Super=18/18 C3 SE-Conceal=5/14 C4 CL-Guid=0/15(incl. modal-strength bonus) C5 SE-Qual=4/8 C6 QO-Vague=7/7 C7 SE-Frame=3/10 C8 CL-Uncertainty=+0. raw=37 x 1.1688 = 43/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",0,18,5,0,4,7,3,0
SO,92122,2020-10-29,0000092122-20-000087,exhibit,0.6346,0.0962,0.0,0.0,0.0,0.0,22,"WSC[A]=0.635 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.096 (vague positives) → s_b=4/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+4=22/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",12,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=1 (GAAP/nonGAAP position) D2=3 (density ratio) D3=0 (headline) D4=3 (burial) D5=0 (demotion) D6=1 (qualifier asymmetry). raw=8/30 → SE=round(raw×1.5)=12/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],0,"No guidance sentences detected (guidance verb + $ / % figure). CL=0: absence of forward guidance is a meaningful signal, not a floor. Uncertainty density=0.000. [LM word-list method; Loughran & McDonald 2011]",0,"WSC[E]=0.000 (internal credit) → tier=0/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+0 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=0+(0)=0/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",34,673,0.5714,50,0,0,0,2,1,3,0,3,0,1,0,0.0,0,0,0.3,0,0.0,34,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=0/22 C2 QO-Super=18/18 C3 SE-Conceal=3/14 C4 CL-Guid=0/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=4/7 C7 SE-Frame=4/10 C8 CL-Uncertainty=+0. raw=29 x 1.1688 = 34/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",0,18,3,0,0,4,4,0
TEL,1385157,2022-07-27,0001558370-22-011089,exhibit,0.1765,0.2353,0.0588,0.4412,0.0588,0.0809,21,"WSC[A]=0.176 (superlatives) → s_a=14/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.235 (vague positives) → s_b=7/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=14+7=21/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",22,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=2 (GAAP/nonGAAP position) D2=2 (density ratio) D3=0 (headline) D4=5 (burial) D5=5 (demotion) D6=1 (qualifier asymmetry). raw=15/30 → SE=round(raw×1.5)=22/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],7,"Guidance sentences=2/68. Sub1 count=6/15 [g=2]. Sub2 modal=3/10 [strong=0, weak=3, ratio=0.00]. Sub3 ranges=0/5 [precision_count=0]. Sub4 uncertainty=-2 [unc_density=0.059]. CL=6+3+0+(-2)=7/25. [LM word-list method; Loughran & McDonald 2011]",13,"WSC[E]=0.059 (internal credit) → tier=13/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.081 (external blame) → modifier=+0 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=13+(0)=13/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",63,1994,0.5,100,22,0,1,0,2,2,0,5,5,1,2,0.0294,0,3,0.0,0,0.0588,61,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=11/22 C2 QO-Super=13/18 C3 SE-Conceal=14/14 C4 CL-Guid=5/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=7/7 C7 SE-Frame=4/10 C8 CL-Uncertainty=-2. raw=52 x 1.1688 = 61/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",11,13,14,5,0,7,4,-2
MCD,63908,2024-07-29,0000063908-24-000119,exhibit,0.1333,0.1333,0.0,0.1556,0.0,0.0,17,"WSC[A]=0.133 (superlatives) → s_a=10/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.133 (vague positives) → s_b=7/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=10+7=17/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",16,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=5 (GAAP/nonGAAP position) D2=4 (density ratio) D3=0 (headline) D4=1 (burial) D5=0 (demotion) D6=1 (qualifier asymmetry). raw=11/30 → SE=round(raw×1.5)=16/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],9,"Guidance sentences=1/45. Sub1 count=4/15 [g=1]. Sub2 modal=5/10 [strong=0, weak=0, ratio=0.30]. Sub3 ranges=0/5 [precision_count=0]. Sub4 uncertainty=0 [unc_density=0.000]. CL=4+5+0+(0)=9/25. [LM word-list method; Loughran & McDonald 2011]",0,"WSC[E]=0.000 (internal credit) → tier=0/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+0 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=0+(0)=0/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",42,1292,0.75,0,0,0,0,2,5,4,0,1,0,1,1,0.0222,0,0,0.3,0,0.0,40,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=0/22 C2 QO-Super=13/18 C3 SE-Conceal=0/14 C4 CL-Guid=5/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=7/7 C7 SE-Frame=9/10 C8 CL-Uncertainty=+0. raw=34 x 1.1688 = 40/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",0,13,0,5,0,7,9,0
PSA,1393311,2018-08-01,0001393311-18-000019,exhibit,0.025,0.0,0.0,0.1417,0.0,0.0167,2,"WSC[A]=0.025 (superlatives) → s_a=2/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.000 (vague positives) → s_b=0/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=2+0=2/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",12,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=1 (GAAP/nonGAAP position) D2=1 (density ratio) D3=0 (headline) D4=3 (burial) D5=2 (demotion) D6=1 (qualifier asymmetry). raw=8/30 → SE=round(raw×1.5)=12/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],11,"Guidance sentences=4/60. Sub1 count=9/15 [g=4]. Sub2 modal=3/10 [strong=0, weak=2, ratio=0.00]. Sub3 ranges=0/5 [precision_count=0]. Sub4 uncertainty=-1 [unc_density=0.033]. CL=9+3+0+(-1)=11/25. [LM word-list method; Loughran & McDonald 2011]",0,"WSC[E]=0.000 (internal credit) → tier=0/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.017 (external blame) → modifier=-3 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=0+(-3)=0/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",25,2334,0.3333,50,1,0,0,1,1,1,0,3,2,1,4,0.0667,0,2,0.0,0,0.0333,22,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=0/22 C2 QO-Super=5/18 C3 SE-Conceal=6/14 C4 CL-Guid=7/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=0/7 C7 SE-Frame=2/10 C8 CL-Uncertainty=-1. raw=19 x 1.1688 = 22/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",0,5,6,7,0,0,2,-1
ULTA,1403568,2024-05-30,0001558370-24-008776,exhibit,0.4211,0.1579,0.0,0.1579,0.2632,0.0,25,"WSC[A]=0.421 (superlatives) → s_a=18/18 [bands: 0→0, ≤0.03→2, ≤0.08→6, ≤0.15→10, ≤0.22→14, >0.22→18]. WSC[B]=0.158 (vague positives) → s_b=7/7 [bands: 0→0, ≤0.05→2, ≤0.12→4, >0.12→7]. QO=18+7=25/25. Recalibrated (v2): wsc_a mean=0.165 → s_a=14; wsc_b median=0.158 → s_b=7.",10,Python D1-D6 scoring (deterministic; LLM disabled for speed). D1=1 (GAAP/nonGAAP position) D2=2 (density ratio) D3=0 (headline) D4=3 (burial) D5=0 (demotion) D6=1 (qualifier asymmetry). raw=7/30 → SE=round(raw×1.5)=10/25 (capped at 25). [Old formula raw×25/30 compressed range; new formula uses ×1.5 scaling],7,"Guidance sentences=1/38. Sub1 count=4/15 [g=1]. Sub2 modal=3/10 [strong=0, weak=2, ratio=0.00]. Sub3 ranges=0/5 [precision_count=0]. Sub4 uncertainty=0 [unc_density=0.000]. CL=4+3+0+(0)=7/25. [LM word-list method; Loughran & McDonald 2011]",25,"WSC[E]=0.263 (internal credit) → tier=22/22 [bands: 0→0, ≤0.02→4, ≤0.05→8, ≤0.10→13, ≤0.18→18, >0.18→22]. WSC[F]=0.000 (external blame) → modifier=+3 [f=0→+3, ≤0.02→+2, ≤0.05→+1, ≤0.10→0, ≤0.15→-2, >0.15→-5; e=0&f>0→-3, e=0&f=0→0]. SA=22+(3)=25/25. Calibrated: wsc_e mean=0.084 (29% zero), wsc_f mean=0.031 (49% zero). [Baginski et al. 2004 — causal attribution in earnings disclosures]",67,831,0.5,50,0,0,1,0,1,2,0,3,0,1,1,0.0263,0,2,0.0,0,0.0,68,"v3rev3(8-criteria, OLS-ranked + 2x stress-test corrected): C1 SA-Attr=22/22 C2 QO-Super=18/18 C3 SE-Conceal=3/14 C4 CL-Guid=5/15(incl. modal-strength bonus) C5 SE-Qual=0/8 C6 QO-Vague=7/7 C7 SE-Frame=3/10 C8 CL-Uncertainty=+0. raw=58 x 1.1688 = 68/100. wsc_c/wsc_d and standalone wsc_f excluded (weak/near-zero in 1000-row OLS + live stress test).",22,18,3,5,0,7,3,0
